,0,0.1,1,1000,18,331
0,0.0,1.0,1,1000,,
1,0.0,2.0,1,1000,,
2,0.0,3.0,1,1000,,
3,0.0,4.0,1,1000,,
4,0.0,5.0,1,1000,,
5,0.0,6.0,1,1000,,
6,0.0,7.0,1,1000,,
7,0.0,8.0,1,1000,,
8,0.0,9.0,1,1000,,
9,0.0,10.0,1,1000,,
10,0.0,11.0,1,1000,,
11,0.0,12.0,1,1000,,
12,0.0,13.0,1,1000,,
13,0.0,14.0,1,1000,,
14,0.0,15.0,1,1000,,
15,0.0,16.0,1,1000,,
16,0.0,17.0,1,1000,,
17,0.0,18.0,1,1000,,
18,0.0,19.0,1,1000,,
19,0.0,20.0,1,1000,,
20,0.0,21.0,1,1000,,
21,0.0,22.0,1,1000,,
22,0.0,23.0,1,1000,,
23,0.0,24.0,1,1000,,
24,0.0,25.0,1,1000,,
25,0.0,26.0,1,1000,,
26,0.0,27.0,1,1000,,
27,0.0,28.0,1,1000,,
28,0.0,29.0,1,1000,,
29,1.0,0.0,1,1000,,
30,1.0,26.0,1,1000,,
31,1.0,27.0,1,1000,,
32,1.0,30.0,1,1000,,
33,1.0,31.0,1,1000,,
34,1.0,32.0,1,1000,,
35,1.0,33.0,1,1000,,
36,1.0,34.0,1,1000,,
37,1.0,35.0,1,1000,,
38,1.0,36.0,1,1000,,
39,1.0,37.0,1,1000,,
40,1.0,38.0,1,1000,,
41,1.0,39.0,1,1000,,
42,1.0,40.0,1,1000,,
43,1.0,41.0,1,1000,,
44,1.0,42.0,1,1000,,
45,1.0,43.0,1,1000,,
46,1.0,44.0,1,1000,,
47,1.0,45.0,1,1000,,
48,1.0,46.0,1,1000,,
49,1.0,47.0,1,1000,,
50,1.0,48.0,1,1000,,
51,1.0,49.0,1,1000,,
52,1.0,50.0,1,1000,,
53,1.0,51.0,1,1000,,
54,1.0,52.0,1,1000,,
55,1.0,53.0,1,1000,,
56,1.0,54.0,1,1000,,
57,1.0,55.0,1,1000,,
58,1.0,56.0,1,1000,,
59,2.0,45.0,1,1000,,
60,2.0,57.0,1,1000,,
61,2.0,58.0,1,1000,,
62,2.0,59.0,1,1000,,
63,2.0,60.0,1,1000,,
64,2.0,61.0,1,1000,,
65,2.0,62.0,1,1000,,
66,2.0,63.0,1,1000,,
67,2.0,64.0,1,1000,,
68,2.0,65.0,1,1000,,
69,2.0,66.0,1,1000,,
70,2.0,67.0,1,1000,,
71,2.0,68.0,1,1000,,
72,2.0,69.0,1,1000,,
73,2.0,70.0,1,1000,,
74,2.0,71.0,1,1000,,
75,2.0,72.0,1,1000,,
76,2.0,73.0,1,1000,,
77,2.0,74.0,1,1000,,
78,2.0,75.0,1,1000,,
79,2.0,76.0,1,1000,,
80,2.0,77.0,1,1000,,
81,2.0,78.0,1,1000,,
82,2.0,79.0,1,1000,,
83,3.0,0.0,1,1000,,
84,3.0,5.0,1,1000,,
85,3.0,12.0,1,1000,,
86,3.0,14.0,1,1000,,
87,3.0,55.0,1,1000,,
88,3.0,63.0,1,1000,,
89,3.0,80.0,1,1000,,
90,3.0,81.0,1,1000,,
91,3.0,82.0,1,1000,,
92,3.0,83.0,1,1000,,
93,3.0,84.0,1,1000,,
94,3.0,85.0,1,1000,,
95,3.0,86.0,1,1000,,
96,3.0,87.0,1,1000,,
97,3.0,88.0,1,1000,,
98,3.0,89.0,1,1000,,
99,3.0,90.0,1,1000,,
100,3.0,91.0,1,1000,,
101,3.0,92.0,1,1000,,
102,3.0,93.0,1,1000,,
103,3.0,94.0,1,1000,,
104,3.0,95.0,1,1000,,
105,3.0,96.0,1,1000,,
106,3.0,97.0,1,1000,,
107,3.0,98.0,1,1000,,
108,3.0,99.0,1,1000,,
109,3.0,100.0,1,1000,,
110,3.0,101.0,1,1000,,
111,3.0,102.0,1,1000,,
112,3.0,103.0,1,1000,,
113,3.0,104.0,1,1000,,
114,4.0,69.0,1,1000,,
115,4.0,105.0,1,1000,,
116,4.0,106.0,1,1000,,
117,4.0,107.0,1,1000,,
118,4.0,108.0,1,1000,,
119,4.0,12.0,1,1000,,
120,4.0,109.0,1,1000,,
121,4.0,110.0,1,1000,,
122,4.0,111.0,1,1000,,
123,5.0,96.0,1,1000,,
124,5.0,97.0,1,1000,,
125,5.0,41.0,1,1000,,
126,5.0,11.0,1,1000,,
127,5.0,12.0,1,1000,,
128,5.0,112.0,1,1000,,
129,5.0,113.0,1,1000,,
130,5.0,114.0,1,1000,,
131,5.0,115.0,1,1000,,
132,5.0,116.0,1,1000,,
133,5.0,117.0,1,1000,,
134,5.0,50.0,1,1000,,
135,5.0,118.0,1,1000,,
136,5.0,119.0,1,1000,,
137,5.0,27.0,1,1000,,
138,5.0,94.0,1,1000,,
139,5.0,31.0,1,1000,,
140,6.0,0.0,1,1000,,
141,6.0,129.0,1,1000,,
142,6.0,130.0,1,1000,,
143,6.0,131.0,1,1000,,
144,6.0,128.0,1,1000,,
145,6.0,132.0,1,1000,,
146,6.0,133.0,1,1000,,
147,6.0,134.0,1,1000,,
148,6.0,135.0,1,1000,,
149,6.0,136.0,1,1000,,
150,6.0,137.0,1,1000,,
151,6.0,138.0,1,1000,,
152,6.0,139.0,1,1000,,
153,6.0,140.0,1,1000,,
154,6.0,14.0,1,1000,,
155,6.0,141.0,1,1000,,
156,6.0,142.0,1,1000,,
157,6.0,17.0,1,1000,,
158,6.0,143.0,1,1000,,
159,6.0,12.0,1,1000,,
160,6.0,22.0,1,1000,,
161,6.0,41.0,1,1000,,
162,6.0,48.0,1,1000,,
163,6.0,61.0,1,1000,,
164,6.0,119.0,1,1000,,
165,6.0,120.0,1,1000,,
166,6.0,121.0,1,1000,,
167,6.0,122.0,1,1000,,
168,6.0,123.0,1,1000,,
169,6.0,124.0,1,1000,,
170,6.0,125.0,1,1000,,
171,6.0,126.0,1,1000,,
172,6.0,127.0,1,1000,,
173,7.0,0.0,1,1000,,
174,7.0,26.0,1,1000,,
175,7.0,12.0,1,1000,,
176,7.0,144.0,1,1000,,
177,7.0,145.0,1,1000,,
178,7.0,146.0,1,1000,,
179,7.0,147.0,1,1000,,
180,7.0,148.0,1,1000,,
181,7.0,149.0,1,1000,,
182,7.0,150.0,1,1000,,
183,7.0,151.0,1,1000,,
184,7.0,152.0,1,1000,,
185,7.0,153.0,1,1000,,
186,7.0,50.0,1,1000,,
187,8.0,160.0,1,1000,,
188,8.0,161.0,1,1000,,
189,8.0,162.0,1,1000,,
190,8.0,163.0,1,1000,,
191,8.0,41.0,1,1000,,
192,8.0,12.0,1,1000,,
193,8.0,154.0,1,1000,,
194,8.0,155.0,1,1000,,
195,8.0,156.0,1,1000,,
196,8.0,157.0,1,1000,,
197,8.0,158.0,1,1000,,
198,8.0,159.0,1,1000,,
199,9.0,164.0,1,1000,,
200,9.0,165.0,1,1000,,
201,9.0,166.0,1,1000,,
202,9.0,167.0,1,1000,,
203,9.0,168.0,1,1000,,
204,9.0,169.0,1,1000,,
205,9.0,170.0,1,1000,,
206,9.0,171.0,1,1000,,
207,9.0,172.0,1,1000,,
208,9.0,173.0,1,1000,,
209,9.0,174.0,1,1000,,
210,9.0,175.0,1,1000,,
211,9.0,176.0,1,1000,,
212,9.0,177.0,1,1000,,
213,9.0,178.0,1,1000,,
214,9.0,179.0,1,1000,,
215,9.0,180.0,1,1000,,
216,10.0,0.0,1,1000,,
217,10.0,97.0,1,1000,,
218,10.0,26.0,1,1000,,
219,10.0,12.0,1,1000,,
220,10.0,50.0,1,1000,,
221,10.0,149.0,1,1000,,
222,10.0,182.0,1,1000,,
223,10.0,181.0,1,1000,,
224,10.0,184.0,1,1000,,
225,10.0,185.0,1,1000,,
226,10.0,186.0,1,1000,,
227,10.0,187.0,1,1000,,
228,10.0,188.0,1,1000,,
229,10.0,183.0,1,1000,,
230,11.0,192.0,1,1000,,
231,11.0,193.0,1,1000,,
232,11.0,194.0,1,1000,,
233,11.0,195.0,1,1000,,
234,11.0,196.0,1,1000,,
235,11.0,197.0,1,1000,,
236,11.0,72.0,1,1000,,
237,11.0,12.0,1,1000,,
238,11.0,189.0,1,1000,,
239,11.0,190.0,1,1000,,
240,11.0,191.0,1,1000,,
241,12.0,198.0,1,1000,,
242,12.0,199.0,1,1000,,
243,12.0,200.0,1,1000,,
244,12.0,201.0,1,1000,,
245,12.0,202.0,1,1000,,
246,12.0,203.0,1,1000,,
247,12.0,12.0,1,1000,,
248,12.0,204.0,1,1000,,
249,12.0,86.0,1,1000,,
250,12.0,27.0,1,1000,,
251,13.0,129.0,1,1000,,
252,13.0,12.0,1,1000,,
253,13.0,17.0,1,1000,,
254,13.0,40.0,1,1000,,
255,13.0,43.0,1,1000,,
256,13.0,205.0,1,1000,,
257,13.0,206.0,1,1000,,
258,13.0,207.0,1,1000,,
259,13.0,208.0,1,1000,,
260,13.0,209.0,1,1000,,
