,0,0.1,1,1000,5,67
0,0.0,1.0,1,1000,,
1,0.0,2.0,1,1000,,
2,0.0,3.0,1,1000,,
3,0.0,4.0,1,1000,,
4,0.0,5.0,1,1000,,
5,0.0,6.0,1,1000,,
6,0.0,7.0,1,1000,,
7,0.0,8.0,1,1000,,
8,0.0,9.0,1,1000,,
9,0.0,10.0,1,1000,,
10,0.0,11.0,1,1000,,
11,0.0,12.0,1,1000,,
12,0.0,13.0,1,1000,,
13,0.0,14.0,1,1000,,
14,0.0,15.0,1,1000,,
15,0.0,16.0,1,1000,,
16,0.0,17.0,1,1000,,
17,0.0,18.0,1,1000,,
18,0.0,19.0,1,1000,,
19,0.0,20.0,1,1000,,
20,1.0,2.0,1,1000,,
21,1.0,21.0,1,1000,,
22,1.0,22.0,1,1000,,
23,1.0,23.0,1,1000,,
24,1.0,24.0,1,1000,,
25,1.0,25.0,1,1000,,
26,1.0,26.0,1,1000,,
27,1.0,27.0,1,1000,,
28,1.0,28.0,1,1000,,
29,2.0,32.0,1,1000,,
30,2.0,33.0,1,1000,,
31,2.0,34.0,1,1000,,
32,2.0,35.0,1,1000,,
33,2.0,36.0,1,1000,,
34,2.0,37.0,1,1000,,
35,2.0,38.0,1,1000,,
36,2.0,27.0,1,1000,,
37,2.0,29.0,1,1000,,
38,2.0,30.0,1,1000,,
39,2.0,31.0,1,1000,,
40,3.0,38.0,1,1000,,
41,3.0,39.0,1,1000,,
42,3.0,40.0,1,1000,,
43,3.0,41.0,1,1000,,
44,3.0,42.0,1,1000,,
45,3.0,43.0,1,1000,,
46,3.0,27.0,1,1000,,
47,3.0,31.0,1,1000,,
48,4.0,8.0,1,1000,,
49,4.0,44.0,1,1000,,
50,4.0,45.0,1,1000,,
51,4.0,46.0,1,1000,,
52,4.0,47.0,1,1000,,
53,4.0,48.0,1,1000,,
54,4.0,49.0,1,1000,,
55,4.0,50.0,1,1000,,
56,4.0,51.0,1,1000,,
57,4.0,14.0,1,1000,,
58,4.0,52.0,1,1000,,
59,4.0,53.0,1,1000,,
60,4.0,54.0,1,1000,,
61,4.0,55.0,1,1000,,
62,4.0,25.0,1,1000,,
63,4.0,56.0,1,1000,,
64,6.0,42.0,1,1000,,
65,6.0,75.0,1,1000,,
66,6.0,76.0,1,1000,,
67,6.0,77.0,1,1000,,
68,6.0,78.0,1,1000,,
69,6.0,43.0,1,1000,,
70,6.0,79.0,1,1000,,
71,6.0,80.0,1,1000,,
72,7.0,3.0,1,1000,,
73,7.0,7.0,1,1000,,
74,7.0,10.0,1,1000,,
75,7.0,16.0,1,1000,,
76,7.0,27.0,1,1000,,
77,7.0,48.0,1,1000,,
78,7.0,52.0,1,1000,,
79,7.0,81.0,1,1000,,
80,7.0,82.0,1,1000,,
81,7.0,83.0,1,1000,,
82,7.0,84.0,1,1000,,
83,7.0,85.0,1,1000,,
84,7.0,86.0,1,1000,,
85,7.0,87.0,1,1000,,
86,7.0,88.0,1,1000,,
87,7.0,89.0,1,1000,,
88,7.0,90.0,1,1000,,
89,7.0,91.0,1,1000,,
90,7.0,92.0,1,1000,,
91,7.0,93.0,1,1000,,
92,7.0,94.0,1,1000,,
93,7.0,95.0,1,1000,,
94,7.0,96.0,1,1000,,
95,7.0,97.0,1,1000,,
96,7.0,98.0,1,1000,,
97,7.0,99.0,1,1000,,
98,10.0,128.0,1,1000,,
99,10.0,129.0,1,1000,,
100,10.0,130.0,1,1000,,
101,10.0,131.0,1,1000,,
102,10.0,132.0,1,1000,,
103,10.0,133.0,1,1000,,
104,10.0,67.0,1,1000,,
105,10.0,134.0,1,1000,,
106,10.0,8.0,1,1000,,
107,10.0,41.0,1,1000,,
108,10.0,135.0,1,1000,,
109,10.0,43.0,1,1000,,
110,10.0,136.0,1,1000,,
111,10.0,27.0,1,1000,,
112,10.0,62.0,1,1000,,
113,10.0,31.0,1,1000,,
114,11.0,2.0,1,1000,,
115,11.0,137.0,1,1000,,
116,11.0,138.0,1,1000,,
117,11.0,139.0,1,1000,,
118,11.0,140.0,1,1000,,
119,11.0,141.0,1,1000,,
120,11.0,142.0,1,1000,,
121,11.0,143.0,1,1000,,
122,11.0,144.0,1,1000,,
123,11.0,145.0,1,1000,,
124,11.0,146.0,1,1000,,
125,11.0,147.0,1,1000,,
126,11.0,148.0,1,1000,,
127,11.0,149.0,1,1000,,
128,11.0,150.0,1,1000,,
129,11.0,151.0,1,1000,,
130,11.0,24.0,1,1000,,
131,11.0,25.0,1,1000,,
132,11.0,152.0,1,1000,,
133,11.0,27.0,1,1000,,
134,11.0,153.0,1,1000,,
135,11.0,154.0,1,1000,,
136,11.0,155.0,1,1000,,
137,11.0,156.0,1,1000,,
138,11.0,157.0,1,1000,,
139,11.0,44.0,1,1000,,
140,11.0,48.0,1,1000,,
141,11.0,49.0,1,1000,,
142,11.0,55.0,1,1000,,
143,11.0,94.0,1,1000,,
144,12.0,14.0,1,1000,,
145,12.0,25.0,1,1000,,
146,12.0,155.0,1,1000,,
147,12.0,158.0,1,1000,,
148,12.0,159.0,1,1000,,
149,12.0,160.0,1,1000,,
150,12.0,161.0,1,1000,,
151,12.0,162.0,1,1000,,
152,12.0,163.0,1,1000,,
153,12.0,164.0,1,1000,,
154,12.0,165.0,1,1000,,
155,12.0,166.0,1,1000,,
156,12.0,167.0,1,1000,,
157,12.0,168.0,1,1000,,
158,12.0,169.0,1,1000,,
159,12.0,170.0,1,1000,,
160,12.0,171.0,1,1000,,
161,12.0,172.0,1,1000,,
162,12.0,173.0,1,1000,,
163,12.0,46.0,1,1000,,
164,12.0,174.0,1,1000,,
165,12.0,48.0,1,1000,,
166,12.0,175.0,1,1000,,
167,12.0,176.0,1,1000,,
168,12.0,177.0,1,1000,,
169,12.0,56.0,1,1000,,
170,12.0,89.0,1,1000,,
171,12.0,91.0,1,1000,,
172,12.0,97.0,1,1000,,
173,12.0,99.0,1,1000,,
174,14.0,25.0,1,1000,,
175,14.0,154.0,1,1000,,
176,14.0,27.0,1,1000,,
177,14.0,157.0,1,1000,,
178,14.0,44.0,1,1000,,
179,14.0,48.0,1,1000,,
180,14.0,186.0,1,1000,,
181,14.0,187.0,1,1000,,
182,14.0,188.0,1,1000,,
183,14.0,189.0,1,1000,,
184,14.0,190.0,1,1000,,
185,14.0,191.0,1,1000,,
186,14.0,192.0,1,1000,,
187,14.0,193.0,1,1000,,
188,14.0,194.0,1,1000,,
189,14.0,195.0,1,1000,,
190,14.0,196.0,1,1000,,
191,14.0,197.0,1,1000,,
192,14.0,198.0,1,1000,,
193,14.0,199.0,1,1000,,
194,14.0,200.0,1,1000,,
195,14.0,201.0,1,1000,,
196,14.0,202.0,1,1000,,
197,14.0,88.0,1,1000,,
198,14.0,89.0,1,1000,,
199,14.0,91.0,1,1000,,
200,15.0,203.0,1,1000,,
201,15.0,204.0,1,1000,,
202,15.0,205.0,1,1000,,
203,15.0,206.0,1,1000,,
204,15.0,207.0,1,1000,,
205,15.0,48.0,1,1000,,
206,15.0,187.0,1,1000,,
207,15.0,25.0,1,1000,,
208,15.0,27.0,1,1000,,
209,16.0,193.0,1,1000,,
210,16.0,163.0,1,1000,,
211,16.0,203.0,1,1000,,
212,16.0,204.0,1,1000,,
213,16.0,187.0,1,1000,,
214,16.0,14.0,1,1000,,
215,16.0,208.0,1,1000,,
216,16.0,209.0,1,1000,,
217,16.0,210.0,1,1000,,
218,16.0,211.0,1,1000,,
219,16.0,48.0,1,1000,,
220,16.0,212.0,1,1000,,
221,16.0,27.0,1,1000,,
222,17.0,14.0,1,1000,,
223,17.0,25.0,1,1000,,
224,17.0,155.0,1,1000,,
225,17.0,27.0,1,1000,,
226,17.0,163.0,1,1000,,
227,17.0,170.0,1,1000,,
228,17.0,48.0,1,1000,,
229,17.0,187.0,1,1000,,
230,17.0,204.0,1,1000,,
231,17.0,210.0,1,1000,,
232,17.0,211.0,1,1000,,
233,17.0,213.0,1,1000,,
234,17.0,214.0,1,1000,,
235,17.0,215.0,1,1000,,
236,17.0,216.0,1,1000,,
237,17.0,217.0,1,1000,,
238,17.0,218.0,1,1000,,
239,17.0,219.0,1,1000,,
240,17.0,220.0,1,1000,,
241,17.0,221.0,1,1000,,
242,17.0,222.0,1,1000,,
243,18.0,132.0,1,1000,,
244,18.0,8.0,1,1000,,
245,18.0,27.0,1,1000,,
246,18.0,29.0,1,1000,,
247,18.0,30.0,1,1000,,
248,18.0,31.0,1,1000,,
249,18.0,33.0,1,1000,,
250,18.0,41.0,1,1000,,
251,18.0,42.0,1,1000,,
252,18.0,43.0,1,1000,,
253,18.0,181.0,1,1000,,
254,18.0,62.0,1,1000,,
255,18.0,67.0,1,1000,,
256,18.0,198.0,1,1000,,
257,18.0,223.0,1,1000,,
258,18.0,224.0,1,1000,,
259,18.0,225.0,1,1000,,
260,18.0,226.0,1,1000,,
